YEAR,MONTH,SUPPLIER,ITEM CODE,ITEM DESCRIPTION,ITEM TYPE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
2017,4,ROYAL WINE CORP,100200,GAMLA CAB - 750ML,WINE,0.00,1.00,0.00
2017,4,SANTA MARGHERITA USA INC,100749,SANTA MARGHERITA P/GRIG ALTO - 375ML,WINE,0.00,1.00,0.00
2017,4,JIM BEAM BRANDS CO,10103,KNOB CREEK BOURBON 9YR - 100P - 375ML,LIQUOR,0.00,8.00,0.00
2017,4,HEAVEN HILL DISTILLERIES INC,10120,J W DANT BOURBON 100P - 1.75L,LIQUOR,0.00,2.00,0.00
2017,4,ROYAL WINE CORP,101664,RAMON CORDOVA RIOJA - 750ML,WINE,0.00,4.00,0.00
2017,4,REPUBLIC NATIONAL DISTRIBUTING CO,101680,MANISCHEWITZ CREAM WH CONCORD - 1.5L,WINE,0.00,1.00,0.00
2017,4,ROYAL WINE CORP,101753,BARKAN CLASSIC PET SYR - 750ML,WINE,0.00,1.00,0.00
2017,4,JIM BEAM BRANDS CO,10197,KNOB CREEK BOURBON 9YR - 100P - 1.75L,LIQUOR,0.00,32.00,0.00
2017,4,STE MICHELLE WINE ESTATES,101974,CH ST MICH P/GRIS - 750ML,WINE,0.00,26.00,0.00
2017,4,MONSIEUR TOUTON SELECTION,102083,CH DE LA CHESNAIE MUSCADET - 750ML,WINE,0.00,1.00,0.00
2017,4,JIM BEAM BRANDS CO,10243,OLD GRAND DAD BOURBON 100P - 750ML,LIQUOR,0.00,3.00,0.00
2017,4,BACCHUS IMPORTERS LTD,10246,HILLROCK DOUBLE CASK RYE - 750ML,LIQUOR,0.00,5.00,0.00
2017,4,MHW LTD,10266,LA CHAYA MAL - 750ML,WINE,0.00,4.00,0.00
2017,4,MHW LTD,10268,LA CHAYA TORRONTES - 750ML,WINE,0.00,1.00,0.00
2017,4,CRAFT WINE & SPIRITS OF MARYLAND LLC,10269,FEW BOURBON - 750ML,LIQUOR,0.00,1.00,0.00
2017,4,CRAFT WINE & SPIRITS OF MARYLAND LLC,10270,KOPPER KETTLE WHISKEY - 750ML,LIQUOR,0.00,1.00,0.00
2017,4,ALLAGASH BREWING COMPANY,10271,ALLAGASH SAISON 6/4 NR 12.0Z,BEER,0.00,4.00,0.00
2017,4,REPUBLIC NATIONAL DISTRIBUTING CO,10274,KINSEY BOURBON - 750ML,LIQUOR,0.00,1.00,0.00
2017,4,PERNOD RICARD USA LLC,10275,LOT 40 RYE - 750ML,LIQUOR,0.00,1.00,0.00
2017,4,KATCEF BROTHERS INC,10306,TROEGS SOLID SENDER PALE ALE - 4/6NR,BEER,0.00,1.00,0.00
2017,4,BACARDI USA INC,10332,GREY GOOSE VODKA - 375ML,LIQUOR,0.00,11.00,0.00
2017,4,A VINTNERS SELECTIONS,103608,VAJRA LANGHE NEBBIOLO DOC - 750ML,WINE,0.00,1.00,0.00
