table_num,TABLE_NAME,category_num,year,Units,value_added,imports,total,CATEGORY_DESC
1,Food dollar,1,6/15/05,Cents per Domestic Real Food Dollar,90.9,3.5,95.8,Total
1,Food dollar,2,6/15/05,Cents per Domestic Real Food Dollar,3.1,0.4,3.5,Agribusiness
1,Food dollar,3,6/15/05,Cents per Domestic Real Food Dollar,10,0.8,10.8,Farm production
1,Food dollar,4,6/15/05,Cents per Domestic Real Food Dollar,18.4,0.8,19.3,Food processing
1,Food dollar,5,6/15/05,Cents per Domestic Real Food Dollar,3.3,0.6,4,Packaging
1,Food dollar,6,6/15/05,Cents per Domestic Real Food Dollar,3.6,0.2,3.8,Transportation
1,Food dollar,7,6/15/05,Cents per Domestic Real Food Dollar,11.5,-0.1,11.3,Wholesale trade
1,Food dollar,8,6/15/05,Cents per Domestic Real Food Dollar,14.6,0.2,14.8,Retail trade
1,Food dollar,9,6/15/05,Cents per Domestic Real Food Dollar,21.6,0.2,21.2,Foodservices
1,Food dollar,10,6/15/05,Cents per Domestic Real Food Dollar,2.1,0.3,2.3,Energy
1,Food dollar,11,6/15/05,Cents per Domestic Real Food Dollar,3.8,0.1,3.9,Finance & Insurance
1,Food dollar,12,6/15/05,Cents per Domestic Real Food Dollar,2.6,0.1,2.7,Advertising
1,Food dollar,13,6/15/05,Cents per Domestic Real Food Dollar,0.9,0,0.9,Legal & accounting
1,Food dollar,14,6/15/05,Cents per Domestic Real Food Dollar,0,0,106.2,Total food dollar
1,Food dollar,15,6/15/05,Cents per Domestic Real Food Dollar,0,0,100,Domestic food dollar
1,Food dollar,16,6/15/05,Cents per Domestic Real Food Dollar,0,0,18.6,Farm share
2,Food at home dollar,1,6/15/05,Cents per Domestic Real Food Dollar,91.4,4,96.8,Total
2,Food at home dollar,2,6/15/05,Cents per Domestic Real Food Dollar,4,0.5,4.5,Agribusiness
2,Food at home dollar,3,6/15/05,Cents per Domestic Real Food Dollar,12.9,1,13.9,Farm production
2,Food at home dollar,4,6/15/05,Cents per Domestic Real Food Dollar,24.9,1.1,26.1,Food processing
2,Food at home dollar,5,6/15/05,Cents per Domestic Real Food Dollar,3.7,0.7,4.5,Packaging
2,Food at home dollar,6,6/15/05,Cents per Domestic Real Food Dollar,4.6,0.2,4.8,Transportation
2,Food at home dollar,7,6/15/05,Cents per Domestic Real Food Dollar,14.8,-0.2,14.6,Wholesale trade
